Country,Year,BBSHP(in %)
Afghanistan,2011,38.6
Afghanistan,2010,34.3
Afghanistan,2008,24
Afghanistan,2003,14.3
Albania,2009,99.3
Albania,2005,99.8
Albania,2002,98
Albania,2000,99.1
Algeria,2006,95.2
Algeria,2002,95.9
Algeria,2000,92.6
Algeria,1992,77
Angola,2007,47.3
Angola,1996,22.5
Antigua and Barbuda,2008,100
Antigua and Barbuda,2007,100
Antigua and Barbuda,2006,99.9
Antigua and Barbuda,2005,99.9
Antigua and Barbuda,2004,100
Antigua and Barbuda,2001,100
Antigua and Barbuda,2000,99.9
Antigua and Barbuda,1998,100
Antigua and Barbuda,1996,100
Argentina,2011,97.1
Argentina,2010,95
Argentina,2009,97.9
Argentina,2008,94.8
Argentina,2007,99.4
Argentina,2006,99.4
Argentina,2005,99.1
Argentina,2003,98.7
Argentina,2002,98.9
Argentina,1999,97.5
Argentina,1998,97.5
Argentina,1997,97.2
Argentina,1992,95.8
Armenia,2010,99.5
Armenia,2007,99.9
Armenia,2005,97.8
Armenia,2000,96.8
Armenia,1999,97.3
Armenia,1997,96.4
Armenia,1990,99.7
Australia,1999,100
Australia,1991,100
Austria,1993,100
Azerbaijan,2010,99.4
Azerbaijan,2006,88
Azerbaijan,2001,88
Azerbaijan,2000,84.1
Azerbaijan,1998,99.8
Azerbaijan,1990,97.3
Bahamas,2007,99
Bahamas,2006,99
Bahamas,2000,99
Bahamas,1990,99
Bahrain,2009,99.5
Bahrain,2008,97.4
Bahrain,1995,97.6
Bangladesh,2011,31.7
Bangladesh,2010,26.5
Bangladesh,2007,18
Bangladesh,2006,20.1
Bangladesh,2004,13.2
Bangladesh,2003,13.9
Bangladesh,2001,11.6
Bangladesh,2000,12.1
Bangladesh,1997,8
Bangladesh,1994,9.5
Barbados,2007,100
Barbados,2006,100
Barbados,2005,100
Barbados,2004,100
Barbados,2003,100
Barbados,2000,98
Barbados,1999,91
Barbados,1995,100
Belarus,2012,100
Belarus,2010,99.9
Belarus,2009,99.9
Belarus,2008,99.9
Belarus,2005,100
